Date;Time;Severity;From;Line;Message
2016/10/11;17:08:38.214;INFO;uv5ki-gw-cfg.cpp;51;"UG5k-APPSERVER: (Version WIN) Iniciado en ""./"". ENTER para SALIR."
2016/10/11;17:08:39.245;DEBUG;his-proc.cpp;39;"HistClient::Run: TO-SNMP-SERVICE (192.168.0.71:65000): C,C03"
2016/10/11;17:08:39.266;ERROR;his-proc.cpp;64;"Excepcion en HistClient::Run: WIN32(ERROR: 10054). recvfrom."
2016/10/11;17:08:39.284;DEBUG;his-proc.cpp;39;"HistClient::Run: TO-SNMP-SERVICE (192.168.0.72:65000): C,C03"
2016/10/11;17:08:39.295;ERROR;his-proc.cpp;64;"Excepcion en HistClient::Run: WIN32(ERROR: 10054). recvfrom."
2016/10/11;17:28:18.017;INFO;uv5ki-gw-cfg.cpp;51;"UG5k-APPSERVER: (NUCLEODF 2016-10-11 17:17:35) Iniciado en ""./"". ENTER para SALIR."
2016/10/11;17:28:18.021;INFO;uv5ki-gw-cfg.cpp;249;"setAllSignalCatch. PID=9536..."
2016/10/11;17:28:19.026;DEBUG;his-proc.cpp;39;"HistClient::Run: TO-SNMP-SERVICE (192.168.0.71:65000): C,C03"
2016/10/11;17:28:24.030;ERROR;his-proc.cpp;64;"Excepcion en HistClient::Run: LINUX(ERROR: 11). recvfrom: Resource temporarily unavailable."
2016/10/11;17:28:24.043;DEBUG;his-proc.cpp;39;"HistClient::Run: TO-SNMP-SERVICE (192.168.0.72:65000): C,C03"
2016/10/11;17:28:29.041;ERROR;his-proc.cpp;64;"Excepcion en HistClient::Run: LINUX(ERROR: 11). recvfrom: Resource temporarily unavailable."
2016/10/11;17:28:40.887;ERROR;uv5ki-gw-cfg.cpp;131;"Recibida Signal 2. de PID=0, Code: 128, UID: 0."
2016/10/11;17:28:42.033;INFO;uv5ki-gw-cfg.cpp;94;"UG5k-APPSERVER Finalizado."
2016/10/14;09:42:19.901;INFO;uv5ki-gw-cfg.cpp;51;"UG5k-APPSERVER: (NUCLEODF 2016-10-14 09:42:11) Iniciado en ""./"". ENTER para SALIR."
2016/10/14;09:42:19.912;INFO;uv5ki-gw-cfg.cpp;250;"setAllSignalCatch. PID=4912..."
2016/10/14;09:42:20.924;DEBUG;his-proc.cpp;39;"HistClient::Run: TO-SNMP-SERVICE (192.168.0.71:65000): C,C03"
2016/10/14;09:42:25.926;ERROR;his-proc.cpp;64;"Excepcion en HistClient::Run: LINUX(ERROR: 11). recvfrom: Resource temporarily unavailable."
